Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,ANNUALTOTAL
CRUISE LLC,AVT008,5G21A6S01K40037EX,0,37.15460308,0,5.498255429,348.255898,345.363822,79.14612943,0,0,0,0,0,0,815.418708
CRUISE LLC,AVT008,5G21A6S01K40089EX,1,19.8952661,40.36391663,43.294438,0,315.5155371,17.01337474,0,0,0,0,0,0,436.0825326
CRUISE LLC,AVT008,5G21A6S07K40027EX,0,17.59006732,176.0306301,0,92.54290861,81.28644096,4.709820687,0,0,0,0,0,0,372.1598677
CRUISE LLC,AVT008,5G21A6S01L40026EX,0,17.24213593,360.6413843,31.90369029,0,18.51200153,104.2747514,0,7.21112349,0,0,0,0,539.7850869
CRUISE LLC,AVT008,5G21A6S02K40052EX,1,13.64351782,83.91639793,0,0,0,0,0,0,0,0,0,0,97.55991575
CRUISE LLC,AVT008,5G21A6S06K40030EX,0,9.044820375,232.4720395,212.4653714,46.34340077,102.2142869,0,0,3.310270534,0,0,0,0,605.8501895
CRUISE LLC,AVT008,5G21A6S09L40028EX,0,6.23237842,107.1464443,39.85652224,4.837385701,0,35.49637626,12.2887119,0,0,0,0,0,205.8578188
CRUISE LLC,AVT008,5G21A6S07K40120EX,1,5.851875855,3.356229308,36.96938246,151.3046968,48.67798696,0,0,0,0,0,0,0,246.1601714
CRUISE LLC,AVT008,5G21A6S0XK40112EX,1,2.69249592,40.9562815,0,2021.048815,1515.521913,1865.13645,954.941735,227.4281506,0,0,0,0,6627.725841
CRUISE LLC,AVT008,5G21A6S0XK40031EX,1,0.205853425,535.1946253,511.6560205,368.4904903,1136.40563,1280.819514,757.8027494,11.63854917,73.68403018,0,0,0,4675.897462
CRUISE LLC,AVT008,5G21A6S09K40039EX,0,0,110.2243078,402.1820053,308.0610335,384.0142139,0,29.88766661,34.85356908,36.52567135,0,0,0,1305.748467
CRUISE LLC,AVT008,5G21A6S06K40105EX,0,0,0.56128592,2.762733862,227.2100852,82.93189371,11.60268541,72.61995989,2.001107622,0,0,0,0,399.6897516
CRUISE LLC,AVT008,5G21A6S05K40044EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVT008,5G21A6S04K40029EX,0,0,937.687777,617.7692803,605.5688361,1492.189714,1217.253153,0,0,0,0,0,0,4870.46876
CRUISE LLC,AVT008,5G21A6S04L40030EX,0,0,35.02175119,269.1081119,111.9169953,113.5571936,0,71.50354051,160.2598697,0,0,0,0,761.3674622
CRUISE LLC,AVT008,5G21A6S02K40081EX,0,0,148.9357422,442.8905367,224.6892422,0,0,0,0,0,0,0,0,816.5155211
CRUISE LLC,AVT008,5G21A6S0XK40048EX,0,0,4.839485318,0,4.37870856,0,0,0.806602414,0,0,0,0,0,10.02479629
CRUISE LLC,AVT008,5G21A6S08K40100EX,1,0,122.5592663,143.4301111,226.9237225,373.4487119,323.6704677,165.8430551,43.40445492,0,0,0,0,1399.279789
CRUISE LLC,AVT008,5G21A6P00L4100037,0,0,0,0,0,4.907577648,223.321815,1292.580357,1826.220596,1008.778245,551.5249029,2508.088125,1769.340799,9184.762418
CRUISE LLC,AVT008,5G21A6P00L4100085,0,0,0,0,0,0,0,28.07843291,0,282.7709222,636.9399319,2134.185877,1283.173103,4365.148267
CRUISE LLC,AVT008,5G21A6P03L4100033,0,0,0,0,0,0,17.39016507,660.9948336,1648.798941,494.95716,971.8008736,2126.22864,926.352949,6846.523563
CRUISE LLC,AVT008,5G21A6P05L4100048,1,0,0,0,0,0,19.31529119,1125.766554,1200.677722,766.1160364,1471.4562,2108.838023,0,6692.169827
CRUISE LLC,AVT008,5G21A6P02L4100038,0,0,0,0,0,0,0,0,629.8687411,1024.856671,1291.419006,2098.955057,0,5045.099475
CRUISE LLC,AVT008,5G21A6P06L4100172,0,0,0,0,0,0,0,0,35.41937839,1043.249986,288.6133223,2074.914437,1441.176305,4883.373427
CRUISE LLC,AVT008,5G21A6P00L4100121,0,0,0,0,0,0,0,0,636.1300389,1254.268759,1400.264373,1811.70706,2053.2984,7155.668631
CRUISE LLC,AVT008,5G21A6P04L4100087,0,0,0,0,0,0,0,337.8094634,1218.984275,919.5051013,1016.458884,2032.743522,1293.467379,6818.968625
CRUISE LLC,AVT008,5G21A6P07L4100083,0,0,0,0,0,0,0,9.151473363,166.8581352,844.2790069,996.2771411,2010.644396,1927.338238,5954.548391
CRUISE LLC,AVT008,5G21A6P08L4100058,1,0,0,0,0,0,0,378.8160695,1258.388173,383.7366646,596.2272982,1993.097444,1353.614848,5963.880498
CRUISE LLC,AVT008,5G21A6P09L4100179,0,0,0,0,0,0,0,0,35.28711321,25.860081,266.8410711,1536.10699,1966.761703,3830.856959
